;;;add;addi;addiw;addw;and;andi;auipc;beqz;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;stall;sub;subw;sw;xor;xori
1a_mulh_300x300,instr,csv;mulh;2716,267;0;139;4;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;23;4;0;0;41716;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456963;0;0;0;0;0
1a_mulhsu_300x300,instr,csv;mulhsu;2536,233;0;138;8;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;19;8;0;0;0;41642;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457007;0;0;0;0;0
1a_mulhu_300x300,instr,csv;mulhu;2534,507;0;140;5;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;22;4;0;0;0;0;41899;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456748;0;0;0;0;0
1a_mulw_300x300,instr,csv;mulw;2699,669;0;274;3;0;0;0;0;0;274;0;0;0;0;0;0;0;0;0;24;3;0;0;0;0;0;82363;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416046;0;0;0;0;0
1a_mv_300x300,instr,csv;mv;2003,181;0;300;8;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;19;8;0;0;0;0;0;0;90000;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_nop_300x300,instr,csv;nop;1731,664;0;300;9;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;90028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_or_300x300,instr,csv;or;2476,68;0;300;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_ori_300x300,instr,csv;ori;2304,542;0;300;9;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;28;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_rem_300x300,instr,csv;rem;2531,992;0;133;2;0;0;0;0;0;133;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;3;0;0;40033;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458658;0;0;0;0;0
1a_remu_300x300,instr,csv;remu;2527,252;0;136;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;5;0;0;0;40931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457754;0;0;0;0;0
