;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2a_ipc24_300x300,instr,csv;ipc24;2690,95;300;1200;2105;0;900;2400;300;1;7500;3000;8400;8100;22;5;5700;5400;7500;7500;6000;7800;0;0;300;2700;0;0;600;0;900;300;1800;1500;1500;0;300;900;1800;370599;300;1500;600;1500
2a_ipc25_300x300,instr,csv;ipc25;2672,576;900;1200;604;600;600;1500;300;1;7200;7200;4500;9000;23;4;7200;5400;6300;7500;4500;6900;0;1;0;1200;0;0;1800;0;1500;600;3000;1500;1200;300;1200;1200;900;368772;600;1800;0;2400
2a_ipc26_300x300,instr,csv;ipc26;1690,007;1;0;7;0;0;0;0;0;0;2;0;2;21;6;3;0;0;0;0;0;0;31;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;498912;0;0;0;0
2a_ipc27_300x300,instr,csv;ipc27;2618,458;1200;900;1503;900;1500;900;300;1;6000;6600;6900;10500;24;3;6900;5700;5400;4500;6300;6000;0;2;600;2100;0;0;1800;0;900;600;2100;2100;600;600;300;2100;600;336360;300;900;300;2700
2a_ipc28_300x300,instr,csv;ipc28;2563,342;600;1500;1805;1200;300;1800;300;1;4500;8100;6000;7500;22;5;7200;4500;6600;5700;6300;3900;0;0;1200;1500;0;0;1500;0;1500;1500;2100;3000;600;2100;1500;1200;900;334015;300;1200;300;2400
2a_ipc29_300x300,instr,csv;ipc29;2762,877;0;2400;2402;900;0;1800;300;1;4200;6300;7500;4800;25;2;5700;9000;6600;11100;7200;7500;0;3;900;900;0;0;300;0;900;600;1800;1500;0;300;300;1200;900;399088;900;600;300;1500
2a_ipc30_300x300,instr,csv;ipc30;1689,98;0;0;4;0;0;0;0;0;1;0;0;1;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498955;0;0;0;0
2a_ipc31_300x300,instr,csv;ipc31;1690,059;0;2;7;0;0;0;0;0;1;0;0;2;20;7;1;0;3;1;0;3;0;30;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;498905;0;0;0;5
2a_ipc32_300x300,instr,csv;ipc32;1689,986;0;0;2;0;0;1;0;0;0;0;0;1;25;2;2;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498951;0;0;0;0
2a_ipc33_300x300,instr,csv;ipc33;1690,005;0;0;6;0;0;0;0;0;0;1;0;0;21;6;0;1;0;0;1;2;0;31;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;498917;0;0;0;1
2a_ipc34_300x300,instr,csv;ipc34;2853,904;300;2400;1511;1800;900;3300;300;1;5100;3900;6900;8100;16;11;6000;5700;6000;5400;4200;6600;0;26;1200;3300;0;0;1200;0;1200;300;2100;3000;600;1500;900;600;1800;296211;600;1800;600;1500
2a_ipc35_300x300,instr,csv;ipc35;1690,002;0;1;3;0;0;1;0;0;2;1;0;1;24;3;0;0;0;1;1;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;1;0;498943;1;0;0;0
2a_ipc36_300x300,instr,csv;ipc36;1690,0;0;0;5;0;0;2;0;0;1;0;2;2;24;3;0;1;1;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;498942;0;0;0;0
