;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2b_ipc07_300x300,instr,csv;ipc07;1690,059;0;2;6;0;0;0;0;0;2;2;1;2;22;4;2;1;0;0;1;2;0;31;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;498909;0;0;0;0
2b_ipc08_300x300,instr,csv;ipc08;1689,987;0;0;6;0;0;0;0;0;0;1;0;1;21;6;1;0;0;0;0;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498921;0;0;0;0
2b_ipc09_300x300,instr,csv;ipc09;1690,016;0;0;5;0;0;0;0;0;0;1;0;0;22;5;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;498950;0;0;0;0
2b_ipc100_300x300,instr,csv;ipc100;2846,94;3300;6900;4208;3900;3600;7200;300;1;0;0;0;0;19;8;0;0;0;0;0;0;0;29;3600;6900;0;0;300;0;2100;3600;5100;6600;3300;3300;3600;2100;3000;231;2700;3600;3000;8400
2b_ipc10_300x300,instr,csv;ipc10;1690,036;0;0;7;1;0;1;0;0;2;0;2;1;20;7;0;1;1;0;1;2;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498912;1;0;0;0
2b_ipc11_300x300,instr,csv;ipc11;1689,999;0;0;6;0;0;1;0;0;1;0;0;0;21;6;1;1;1;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498920;0;0;0;0
2b_ipc12_300x300,instr,csv;ipc12;2710,735;565;282;286;282;282;1130;282;0;6773;6771;9032;8179;23;4;6208;9596;7056;6211;9592;6769;0;1;282;282;0;0;0;0;846;848;564;0;0;846;846;565;0;413739;0;0;282;565
2b_ipc13_300x300,instr,csv;ipc13;1690,093;0;1;7;0;0;1;0;0;0;5;3;1;20;7;2;2;3;2;1;2;0;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;498899;0;0;1;1
2b_ipc14_300x300,instr,csv;ipc14;1690,1;0;0;7;0;0;0;0;0;1;0;2;0;20;7;3;0;4;2;1;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498909;0;1;1;0
2b_ipc15_300x300,instr,csv;ipc15;2798,905;590;295;1184;590;589;295;294;0;5307;6780;6783;7957;23;3;9142;9135;7373;7078;7372;7961;0;0;0;883;0;0;0;1;885;295;1770;295;590;295;590;0;1180;409915;295;590;590;2064
2b_ipc16_300x300,instr,csv;ipc16;2711,408;585;293;1759;584;293;585;292;0;6723;5550;11104;5552;20;6;10520;5847;9646;7307;5842;6721;0;29;0;585;0;0;292;1;293;292;1170;878;877;0;585;876;293;410666;292;0;876;1755
2b_ipc17_300x300,instr,csv;ipc17;2644,329;599;2099;604;599;900;1500;299;0;7498;6300;8099;8700;23;4;8998;8698;7799;6900;7199;4799;0;1;300;900;0;0;300;0;0;0;900;1798;0;600;599;600;600;408375;300;0;600;1499
2b_ipc18_300x300,instr,csv;ipc18;2643,339;600;1200;306;1200;0;1500;300;1;8100;8400;6900;6300;21;6;5100;7800;7800;8400;7200;7800;0;31;300;900;0;0;0;0;600;900;1500;900;900;0;300;1500;900;395544;600;1800;300;300
2b_ipc19_300x300,instr,csv;ipc19;2743,457;600;600;1206;300;300;2400;300;1;8100;8100;6300;3900;21;6;8700;8700;6600;6300;7800;6600;0;31;300;900;0;0;600;0;300;1800;1200;1200;600;600;600;900;600;393709;600;900;600;2100
2b_ipc20_300x300,instr,csv;ipc20;2679,451;900;1800;302;900;600;300;300;1;9600;6900;6300;8100;25;2;6900;9000;6900;8700;5400;6600;0;3;0;600;0;0;600;0;600;300;2100;600;0;0;900;300;1200;394308;600;600;600;2100
2b_ipc21_300x300,instr,csv;ipc21;1690,094;0;1;6;0;0;2;0;0;1;3;1;2;21;5;2;1;2;2;1;0;0;30;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;498905;0;0;0;0
2b_ipc22_300x300,instr,csv;ipc22;2698,788;900;1200;1504;300;300;1800;300;1;7500;8400;6300;6300;23;4;8100;4500;5400;8100;7200;6900;0;1;300;1200;0;0;900;0;900;900;1500;900;600;600;1200;900;1200;388615;900;900;600;2100
2b_ipc23_300x300,instr,csv;ipc23;1690,115;1;0;6;0;0;0;0;0;2;3;1;0;22;5;2;1;3;2;1;3;0;0;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;498931;0;0;1;0
2b_ipc24_300x300,instr,csv;ipc24;1689,981;1;0;5;0;0;0;0;0;0;0;0;0;22;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498954;0;1;0;0
2b_ipc25_300x300,instr,csv;ipc25;2753,671;1200;1500;1202;900;600;3000;300;1;8100;6300;6300;5100;25;2;8700;5700;4200;6300;4500;7500;0;3;900;4200;0;0;0;0;900;300;2100;2100;600;1500;1800;900;300;313885;600;0;1200;1800
2b_ipc26_300x300,instr,csv;ipc26;2614,954;600;2100;2405;1800;2100;900;300;1;5700;5400;4800;7200;22;5;3900;8100;9600;6900;7200;8100;0;0;600;2400;0;0;600;0;0;900;600;1500;300;600;600;0;1200;368488;300;900;1200;1800
2b_ipc27_300x300,instr,csv;ipc27;1690,016;0;0;8;0;0;0;0;0;0;0;0;0;20;7;1;1;0;2;0;0;0;30;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;498918;0;0;0;0
2b_ipc28_300x300,instr,csv;ipc28;1689,993;0;0;8;0;0;0;0;0;1;1;0;0;19;8;0;0;0;0;0;1;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498922;0;0;0;0
2b_ipc29_300x300,instr,csv;ipc29;1689,991;0;0;4;0;0;1;0;0;0;1;1;0;23;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;498951;0;0;0;1
2b_ipc30_300x300,instr,csv;ipc30;1690,056;0;0;5;1;0;0;0;0;0;1;1;0;22;5;1;2;2;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;498941;0;0;0;1
2b_ipc31_300x300,instr,csv;ipc31;2473,141;900;1201;1505;900;600;2400;300;1;8400;7500;9900;6900;22;4;5100;3900;5700;6300;5400;5100;0;31;1200;2100;0;0;600;1;600;900;1800;2400;300;600;300;1200;300;353504;900;900;2700;1800
2b_ipc32_300x300,instr,csv;ipc32;1690,284;1;2;6;0;2;1;0;0;4;3;6;4;21;6;3;5;5;7;4;2;0;31;0;3;0;0;2;0;0;0;0;2;0;1;0;1;1;498858;3;1;0;4
2b_ipc33_300x300,instr,csv;ipc33;1690,225;0;0;11;1;1;2;0;0;3;4;4;2;19;8;4;5;2;4;4;4;0;29;0;3;0;0;1;0;1;2;2;1;0;0;1;0;1;498865;2;1;1;1
2b_ipc34_300x300,instr,csv;ipc34;2758,938;900;2700;3302;300;1200;3000;300;1;6900;3900;5700;6600;25;2;5700;4800;4200;6900;6900;6000;0;3;1800;2400;0;0;900;0;600;900;2400;2700;600;1200;1200;600;600;302185;600;1200;1200;2400
2b_ipc35_300x300,instr,csv;ipc35;1690,055;1;0;5;1;1;1;0;0;3;1;0;2;24;3;2;4;2;3;0;0;0;2;2;0;0;0;0;0;0;1;3;1;0;0;0;1;0;498925;0;0;0;1
2b_ipc36_300x300,instr,csv;ipc36;1690,006;0;0;5;0;0;1;0;0;1;0;2;1;23;4;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498948;0;0;0;1
2b_ipc37_300x300,instr,csv;ipc37;1689,978;0;0;3;0;0;0;0;0;1;0;0;0;24;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498955;0;0;0;0
2b_ipc38_300x300,instr,csv;ipc38;1690,045;0;0;4;0;0;0;0;0;1;0;0;0;23;4;0;0;3;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;498950;0;0;0;0
2b_ipc39_300x300,instr,csv;ipc39;2615,228;1200;1500;2104;900;1800;2700;300;1;6000;8100;4500;5100;23;4;5100;3600;8400;4800;5400;5700;0;1;1200;3000;0;0;1500;0;900;1200;2400;2400;2100;1200;2100;300;300;296234;300;2100;600;1800
2b_ipc40_300x300,instr,csv;ipc40;2697,37;1800;1800;1204;1800;1500;2100;300;1;4200;4500;5400;5400;23;4;5700;3000;7500;3900;6600;6300;0;1;1800;1500;0;0;1800;0;1800;1200;4200;3300;600;1500;900;600;600;284196;1800;1800;1200;3000
2b_ipc41_300x300,instr,csv;ipc41;2586,353;1200;1500;4205;1200;1500;3900;300;1;5400;5400;6000;7800;22;5;4800;3900;3000;4800;4800;6000;0;0;1800;1800;0;0;900;0;600;1200;2700;3300;2100;600;600;1800;1200;246418;900;1200;600;3600
2b_ipc42_300x300,instr,csv;ipc42;1691,125;0;1;4;0;0;1;0;0;1;2;0;0;23;4;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;498942;1;0;0;1
2b_ipc43_300x300,instr,csv;ipc43;2788,831;900;3600;3608;1800;1200;2400;300;1;6900;2700;3900;5400;19;8;6900;5100;3300;5700;6300;3300;0;29;600;2700;0;0;1200;0;1200;900;3000;3600;900;1800;2400;1200;1200;248241;600;2100;1200;2700
2b_ipc44_300x300,instr,csv;ipc44;1689,983;0;0;5;0;0;1;0;0;0;0;1;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;498951;2;1;0;0
2b_ipc45_300x300,instr,csv;ipc45;2819,72;1500;1500;1806;900;1200;3300;300;1;4500;3600;6900;4200;21;6;4500;8400;3900;8700;3300;5700;0;31;2400;2700;0;0;600;0;900;900;1500;3300;1200;2100;900;1200;2400;281510;1500;1200;900;2700
2b_ipc46_300x300,instr,csv;ipc46;2671,375;300;2700;3303;900;1200;4800;300;1;4800;3600;4800;3900;24;3;6000;6900;4800;6600;4800;5100;0;2;1800;2100;0;0;900;0;600;900;4800;3300;600;600;900;1500;1800;275825;0;900;1200;3900
2b_ipc47_300x300,instr,csv;ipc47;2607,384;2400;3900;2403;900;1500;3000;300;1;3000;4800;3900;8100;24;3;4200;4500;5100;5100;4500;4200;0;2;1500;2700;0;0;1500;0;1500;2100;2700;3000;900;1800;1800;1500;1500;244020;1200;900;900;3300
2b_ipc48_300x300,instr,csv;ipc48;2735,534;1800;3600;3306;900;2400;3900;300;1;3600;3300;5400;3300;21;6;4500;4200;3000;6600;5100;3900;0;31;900;3000;0;0;2100;0;1200;1800;1800;4800;1500;2400;1800;1500;900;228137;1500;1500;1200;3600
2b_ipc49_300x300,instr,csv;ipc49;1689,989;0;0;9;0;0;0;0;0;0;1;0;0;18;9;0;0;0;0;0;0;0;28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;498923;0;0;0;0
2b_ipc50_300x300,instr,csv;ipc50;2708,714;2700;2700;5103;1500;600;3300;300;1;4200;4500;4200;5400;24;3;4200;3600;4500;4200;5400;3300;0;2;1200;3900;0;0;2100;0;1200;1200;1500;3900;2100;900;1200;1200;2400;210692;2100;300;1200;4500
2b_ipc51_300x300,instr,csv;ipc51;2650,894;1200;3601;3005;2100;2100;3300;300;1;5400;7200;4200;2400;22;4;3600;5100;4800;4200;3600;4500;0;31;900;3000;0;0;1500;1;900;2400;2100;3000;1800;1200;1800;1800;1800;223039;600;900;1500;4800
2b_ipc52_300x300,instr,csv;ipc52;1690,271;0;5;9;1;2;2;0;0;5;3;3;3;20;7;5;5;2;4;8;1;0;30;4;9;0;0;1;0;5;1;5;6;2;1;1;3;0;498822;1;1;1;11
2b_ipc53_300x300,instr,csv;ipc53;1690,489;0;1;10;0;0;0;0;0;0;2;0;0;17;10;0;3;1;1;1;0;0;27;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;498909;1;0;0;0
2b_ipc54_300x300,instr,csv;ipc54;1690,011;1;1;8;0;0;1;0;0;0;2;0;0;19;8;0;2;1;0;0;0;0;29;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;498914;0;0;1;0
2b_ipc55_300x300,instr,csv;ipc55;1690,098;0;1;6;0;2;3;0;0;1;3;2;0;21;6;3;0;2;2;4;2;0;31;0;2;0;0;1;0;1;0;1;2;0;1;0;0;1;498889;1;0;0;1
2b_ipc56_300x300,instr,csv;ipc56;1689,994;0;1;5;0;0;0;0;0;0;0;1;0;22;5;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498952;0;0;0;0
2b_ipc57_300x300,instr,csv;ipc57;1690,099;2;0;6;1;1;0;0;0;1;1;0;2;23;4;0;0;4;1;0;5;0;1;0;0;0;0;2;0;1;0;0;2;1;1;0;2;1;498924;1;2;0;0
2b_ipc58_300x300,instr,csv;ipc58;1690,041;0;1;9;0;2;1;0;0;1;1;0;1;18;8;0;0;1;0;2;1;0;27;0;1;0;0;0;1;0;1;4;0;0;0;0;0;0;498908;0;0;0;1
2b_ipc59_300x300,instr,csv;ipc59;1689,997;0;0;7;0;0;0;0;0;0;0;1;0;20;7;0;0;0;0;1;0;0;30;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;498918;0;0;0;1
2b_ipc60_300x300,instr,csv;ipc60;2722,322;1200;3000;4806;1500;2400;4200;300;1;3900;3600;3000;4200;21;6;4200;2700;3600;4500;2700;4500;0;31;900;4200;0;0;1800;0;900;1200;3300;6000;1500;1800;600;1500;900;186390;2400;2700;1500;5100
2b_ipc61_300x300,instr,csv;ipc61;1689,984;1;0;5;0;0;1;0;0;1;0;0;0;22;5;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;498952;0;0;0;0
2b_ipc62_300x300,instr,csv;ipc62;1690,092;0;2;9;0;1;2;0;0;0;2;1;0;20;6;1;2;0;1;2;2;0;29;1;1;0;0;2;1;0;1;4;0;3;1;1;2;0;498887;1;1;1;2
2b_ipc63_300x300,instr,csv;ipc63;1689,997;1;0;9;0;0;0;0;0;0;0;1;0;18;9;0;0;0;0;0;1;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;498921;0;0;0;0
2b_ipc64_300x300,instr,csv;ipc64;1689,997;0;3;4;0;0;0;0;0;1;0;0;0;23;3;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;1;0;0;498947;1;0;0;0
2b_ipc65_300x300,instr,csv;ipc65;1689,996;1;1;5;2;0;4;0;0;0;1;0;1;24;3;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;498939;1;0;0;0
2b_ipc66_300x300,instr,csv;ipc66;1690,156;1;2;10;3;3;0;0;0;0;3;3;1;23;4;1;3;4;2;1;2;0;1;0;5;0;0;2;0;2;2;1;3;2;2;3;3;0;498889;2;0;2;4
2b_ipc67_300x300,instr,csv;ipc67;2630,66;900;4200;4803;2700;3000;7200;300;1;5100;3000;2700;3600;24;3;1800;2700;3600;2700;2700;2100;0;2;1500;3600;0;0;2100;0;1200;2100;3300;3900;2400;2100;2400;1500;2100;160352;2400;900;1500;4500
2b_ipc68_300x300,instr,csv;ipc68;1690,441;0;2;6;0;0;1;0;0;2;0;0;1;23;4;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;498941;0;0;0;1
2b_ipc69_300x300,instr,csv;ipc69;1691,121;0;2;7;0;1;2;0;0;0;0;1;0;21;5;0;0;0;0;0;2;0;30;0;0;0;0;0;1;0;0;0;0;1;1;1;0;2;498910;0;2;0;0
2b_ipc70_300x300,instr,csv;ipc70;1690,021;0;4;13;0;0;1;0;0;1;0;0;0;18;7;1;0;0;0;0;0;0;26;1;1;0;0;1;2;0;0;0;1;0;0;3;0;0;498907;0;1;1;0
2b_ipc71_300x300,instr,csv;ipc71;1690,017;0;5;5;2;0;2;0;0;0;0;0;0;22;4;2;2;0;1;0;0;0;31;0;2;0;0;1;1;0;0;1;2;1;0;0;2;2;498898;0;1;0;2
2b_ipc72_300x300,instr,csv;ipc72;1690,031;2;1;7;0;1;1;0;0;0;1;1;1;23;4;1;0;1;1;0;1;0;1;2;3;0;0;2;0;0;2;3;1;0;0;0;1;1;498920;3;2;2;0
2b_ipc73_300x300,instr,csv;ipc73;1690,094;0;4;11;2;1;2;0;0;2;0;3;0;23;4;0;3;2;1;1;2;0;1;0;2;0;0;6;0;0;0;3;5;0;4;1;1;2;498897;1;0;1;4
2b_ipc74_300x300,instr,csv;ipc74;1690,006;1;0;4;0;0;1;0;0;0;1;1;1;23;4;1;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;1;1;0;1;498941;1;1;0;1
2b_ipc75_300x300,instr,csv;ipc75;1689,995;0;0;7;0;1;0;0;0;0;0;1;1;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;498916;0;0;0;1
2b_ipc76_300x300,instr,csv;ipc76;1690,427;7;13;24;3;4;11;0;0;3;8;6;3;21;6;5;6;6;4;6;3;0;31;3;8;0;0;5;0;6;3;13;13;5;8;8;5;8;498717;5;2;1;9
2b_ipc77_300x300,instr,csv;ipc77;1690,133;3;1;11;1;1;10;0;0;2;2;2;3;22;5;0;3;2;0;2;2;0;0;0;5;0;0;3;0;3;3;7;4;2;3;2;1;1;498874;1;2;2;4
2b_ipc78_300x300,instr,csv;ipc78;2789,864;3600;3301;5102;4500;3600;6000;300;1;2100;2400;1200;2400;25;1;2100;1200;3000;2100;3000;2400;0;2;1500;4800;0;0;2700;1;1800;3000;3900;4500;2100;3000;1800;3300;900;106945;1800;900;2100;4200
2b_ipc79_300x300,instr,csv;ipc79;1690,222;1;7;8;4;3;6;0;0;2;1;2;0;22;5;4;1;1;4;5;1;0;0;2;5;0;0;2;0;2;2;7;2;2;4;2;4;3;498865;3;3;1;3
2b_ipc80_300x300,instr,csv;ipc80;1690,077;5;2;8;1;0;5;0;0;0;0;2;0;22;5;0;1;1;1;0;3;0;0;0;3;0;0;0;0;2;0;4;2;1;2;3;3;1;498904;1;2;2;3
2b_ipc81_300x300,instr,csv;ipc81;1690,033;1;8;7;0;0;2;0;0;1;0;0;1;21;5;0;1;1;0;0;1;0;30;0;1;0;0;0;1;1;1;4;2;1;0;1;0;0;498897;0;0;0;1
2b_ipc82_300x300,instr,csv;ipc82;1690,44;0;1;5;0;1;0;0;0;0;0;0;0;22;5;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;2;2;0;0;498941;0;0;1;1
2b_ipc83_300x300,instr,csv;ipc83;2708,776;3600;4800;4806;2100;3300;4200;300;1;2700;1800;1500;600;21;6;2400;900;2400;1500;2100;1500;0;31;1800;6600;0;0;2400;0;1800;1500;3900;7800;1800;2100;1200;1200;2700;82393;2400;3300;3300;6300
2b_ipc84_300x300,instr,csv;ipc84;1690,045;2;7;4;1;0;1;0;0;0;2;1;0;24;3;1;0;1;0;1;0;0;2;1;3;0;0;1;0;6;1;4;4;0;1;1;1;3;498910;0;2;0;1
2b_ipc85_300x300,instr,csv;ipc85;1689,978;0;0;5;0;0;0;0;0;0;1;0;0;22;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;498952;0;0;0;0
2b_ipc86_300x300,instr,csv;ipc86;1689,99;0;0;7;0;0;0;0;0;0;0;1;0;20;7;0;0;0;0;0;1;0;30;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;498921;0;0;0;1
2b_ipc87_300x300,instr,csv;ipc87;1690,039;0;3;7;1;1;1;0;0;1;1;0;1;21;6;1;1;0;0;1;1;0;31;0;1;0;0;0;0;1;1;2;1;3;1;2;1;6;498887;0;1;1;3
2b_ipc88_300x300,instr,csv;ipc88;1690,163;2;7;10;5;5;5;0;0;0;2;1;0;22;5;1;1;6;2;0;4;0;0;3;7;0;0;3;0;5;2;12;5;4;3;3;4;4;498843;2;3;3;5
2b_ipc89_300x300,instr,csv;ipc89;1691,108;0;1;5;0;0;2;0;0;1;0;0;1;23;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;0;0;1;0;498942;0;1;1;1
2b_ipc90_300x300,instr,csv;ipc90;1690,472;1;1;11;2;1;1;0;0;1;0;0;0;20;7;0;1;0;0;0;1;0;30;1;0;0;0;0;0;0;0;1;2;2;4;2;2;1;498893;1;2;0;1
2b_ipc91_300x300,instr,csv;ipc91;2723,633;1800;6001;6905;3300;1800;5100;300;1;1800;300;900;900;22;4;600;300;300;900;900;0;0;31;1500;6000;0;0;2100;1;2700;4800;5400;7200;1500;2400;2700;4500;2700;33504;4200;2400;2700;5700
2b_ipc92_300x300,instr,csv;ipc92;1690,018;0;2;15;2;1;1;0;0;0;0;1;0;14;13;0;0;0;0;0;0;0;24;0;2;0;0;1;0;1;0;0;0;0;0;0;0;1;498909;1;1;0;0
2b_ipc93_300x300,instr,csv;ipc93;1690,003;0;2;7;0;0;1;0;0;1;0;0;1;20;6;1;0;0;0;0;0;0;29;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;498911;1;0;1;2
2b_ipc94_300x300,instr,csv;ipc94;2797,976;3900;3900;7503;2400;3000;8100;300;1;600;300;300;600;24;3;600;300;0;600;300;300;0;2;3900;4800;0;0;2400;0;4800;2700;5100;6000;3000;1200;4200;2700;3000;19391;2400;1500;4200;5700
2b_ipc95_300x300,instr,csv;ipc95;1690,198;5;5;19;2;8;13;0;0;0;1;4;1;20;7;1;1;0;1;1;1;0;30;6;10;0;0;7;0;2;4;8;10;4;7;6;4;5;498768;4;7;7;10
2b_ipc96_300x300,instr,csv;ipc96;2832,281;3000;6000;7205;2100;3000;5100;300;1;300;600;0;0;22;5;0;600;0;300;600;600;0;0;3300;7500;0;0;3900;0;3000;3900;5100;3900;2700;3900;2700;2400;5100;11299;1500;2100;5100;4800
2b_ipc97_300x300,instr,csv;ipc97;2760,619;2400;6300;4503;3000;3600;7200;300;1;0;300;300;300;24;3;300;0;0;300;300;300;0;2;3300;6300;0;0;1500;0;3900;3000;5400;9300;3000;2400;2700;3600;3600;7100;3300;3000;1500;5400
2b_ipc98_300x300,instr,csv;ipc98;2920,061;1500;6900;5709;3300;4200;4800;300;1;0;0;0;0;18;9;0;300;0;0;300;300;0;28;3600;6300;0;0;3300;0;4800;3900;6000;6000;2100;2100;2400;3000;3000;2928;4500;2400;4200;5400
2b_ipc99_300x300,instr,csv;ipc99;2841,174;3300;10800;6308;2100;2100;3900;300;1;300;300;0;0;19;8;300;0;0;0;0;600;0;29;2100;6600;0;0;3900;0;1800;3900;5100;6300;4800;4800;3300;2700;1500;4423;1800;1800;4200;5700
2c_ipc00_300x300,instr,csv;ipc00;1689,997;0;0;4;0;0;0;0;0;0;1;0;1;23;4;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498952;0;0;0;0
2c_ipc01_300x300,instr,csv;ipc01;2572,586;0;258;4;0;259;0;258;0;9308;8270;7754;8022;23;4;6211;6721;5432;8277;7503;8532;0;1;0;258;0;0;0;0;0;0;0;259;0;0;0;0;258;420859;0;0;259;259
2c_ipc02_300x300,instr,csv;ipc02;1690,028;0;0;8;0;0;0;0;0;0;1;1;0;19;8;0;0;1;0;3;0;0;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;498918;0;0;0;0
2c_ipc03_300x300,instr,csv;ipc03;1691,166;0;0;5;0;0;0;0;0;0;0;4;1;22;5;2;1;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498943;0;0;0;0
2c_ipc04_300x300,instr,csv;ipc04;1690,128;0;0;4;0;0;0;0;0;1;3;2;2;23;4;3;0;3;2;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;498935;0;0;0;0
2c_ipc05_300x300,instr,csv;ipc05;1689,972;0;0;4;0;0;0;0;0;0;0;1;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498956;0;0;0;0
2c_ipc06_300x300,instr,csv;ipc06;1689,993;0;0;5;0;0;0;0;0;1;0;0;0;22;5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498953;0;0;0;0
2c_ipc07_300x300,instr,csv;ipc07;1690,111;0;0;5;0;0;0;0;0;0;1;0;2;22;5;1;3;5;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498937;0;0;0;0
2c_ipc08_300x300,instr,csv;ipc08;1690,004;0;1;8;0;0;0;0;0;0;0;1;1;19;7;0;0;0;1;0;0;0;28;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;498922;0;0;0;0
2c_ipc09_300x300,instr,csv;ipc09;1690,491;0;0;5;0;0;0;0;0;1;0;0;0;22;5;1;1;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;498944;1;0;0;1
2c_ipc100_300x300,instr,csv;ipc100;2831,595;3900;7500;6007;2100;5100;6000;300;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;3000;5100;0;0;900;0;1800;2100;4800;5100;3600;3900;3600;3900;3300;231;3900;4200;3600;6900
2c_ipc10_300x300,instr,csv;ipc10;1689,988;0;0;4;0;0;0;0;0;1;0;1;0;23;4;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498953;0;0;0;0
2c_ipc11_300x300,instr,csv;ipc11;2815,371;272;1357;1092;0;271;542;271;0;7603;7057;8143;6791;22;5;6514;5425;9498;7056;8958;5432;0;0;544;271;0;0;272;0;0;0;813;813;543;542;271;542;0;416984;271;0;0;814
2c_ipc12_300x300,instr,csv;ipc12;1690,212;0;0;5;0;0;0;0;0;3;5;2;2;22;5;1;2;2;4;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;498924;0;1;1;0
2c_ipc13_300x300,instr,csv;ipc13;1690,037;0;1;3;0;0;0;0;0;1;1;0;0;24;3;1;1;1;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498947;0;0;0;0
2c_ipc14_300x300,instr,csv;ipc14;2514,064;558;1671;1397;278;0;1114;278;0;6686;5847;8073;6400;24;3;6127;7523;6684;8353;7791;8912;0;2;279;279;0;0;557;0;0;0;557;834;556;0;557;278;558;414865;278;0;835;835
2c_ipc15_300x300,instr,csv;ipc15;1690,099;0;0;9;1;0;0;0;0;1;2;3;0;19;8;1;3;0;0;4;2;0;29;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;498905;0;0;0;0
2c_ipc16_300x300,instr,csv;ipc16;1689,969;0;0;4;0;0;0;0;0;0;1;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498956;0;0;0;0
2c_ipc17_300x300,instr,csv;ipc17;1689,983;0;0;4;0;0;0;0;0;1;0;0;0;23;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498955;0;0;0;0
2c_ipc18_300x300,instr,csv;ipc18;1689,995;0;0;5;0;0;0;0;0;3;2;1;1;22;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498949;0;0;0;0
2c_ipc19_300x300,instr,csv;ipc19;1690,079;0;0;4;0;0;0;0;0;1;1;2;3;23;4;0;4;4;1;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;498937;0;0;0;0
