Full Name;Name;Power;stall;add;addi;addiw;addw;and;andi;auipc;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori
1a_mulhu_300x300;mulhu_300x300;5307,406;228776;0;70;5;0;0;0;0;69;0;0;0;0;0;0;0;0;0;22;4;0;0;0;0;20985;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_mulw_300x300;mulw_300x300;5538,009;208410;0;137;3;0;0;0;0;137;0;0;0;0;0;0;0;0;0;24;3;0;0;0;0;0;41247;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_mv_300x300;mv_300x300;4937,435;231;0;300;8;0;0;0;0;300;0;0;0;0;1;0;0;0;0;19;8;0;0;0;0;0;0;90000;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_nop_300x300;nop_300x300;4728,405;231;0;300;9;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;90028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_or_300x300;or_300x300;5248,633;215;0;300;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_ori_300x300;ori_300x300;5090,744;231;0;300;9;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;28;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_rem_300x300;rem_300x300;4681,466;229755;0;66;2;0;0;0;0;66;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;3;0;0;20044;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_remu_300x300;remu_300x300;5198,423;229291;0;68;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;5;0;0;0;20504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_remuw_300x300;remuw_300x300;5229,1;224267;0;84;1;0;0;0;0;84;0;0;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;4;0;0;0;0;25496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_remw_300x300;remw_300x300;4681,466;226199;0;78;1;0;0;0;0;78;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;0;0;0;4;0;0;0;0;0;23576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sb_300x300;sb_300x300;4959,375;213914;0;119;20;0;0;0;0;119;0;0;0;0;0;0;0;0;0;7;20;0;0;0;0;0;0;0;17;0;0;0;0;0;0;35747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sh_300x300;sh_300x300;4957,808;213914;0;119;19;0;0;0;0;119;0;0;0;0;0;0;0;0;0;8;19;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;35747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sll_300x300;sll_300x300;5192,835;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_slli_300x300;slli_300x300;5180,78;215;0;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_slliw_300x300;slliw_300x300;5434,099;231;0;300;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sllw_300x300;sllw_300x300;5406,463;215;0;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_slt_300x300;slt_300x300;5155,411;215;0;300;3;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_slti_300x300;slti_300x300;5003,639;231;0;300;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sltiu_300x300;sltiu_300x300;5005,761;231;0;302;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;3;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sltu_300x300;sltu_300x300;5231,539;231;0;300;9;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0
1a_sra_300x300;sra_300x300;5231,057;231;0;300;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0
1a_srai_300x300;srai_300x300;5038,448;231;0;300;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0
1a_sraiw_300x300;sraiw_300x300;5179,933;231;0;301;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0
1a_sraw_300x300;sraw_300x300;5180,177;215;0;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0
1a_srl_300x300;srl_300x300;5150,202;215;0;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0
1a_srli_300x300;srli_300x300;5004,219;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0
1a_srliw_300x300;srliw_300x300;5028,209;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0
1a_srlw_300x300;srlw_300x300;5164,421;215;0;300;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0
1a_sub_300x300;sub_300x300;5593,319;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0
1a_subw_300x300;subw_300x300;5603,283;215;0;300;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0
1a_sw_300x300;sw_300x300;4955,701;213914;0;119;21;0;0;0;0;119;0;0;0;0;0;0;0;0;0;6;21;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35747;0;0
1a_xor_300x300;xor_300x300;5236,548;215;0;300;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0
1a_xori_300x300;xori_300x300;5150,512;215;0;300;3;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000
1b_add_300x300;add_300x300;5199,724;231;90000;301;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_addi_300x300;addi_300x300;5288,495;215;0;90000;3;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;300;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
