,,add,addi,addiw,addw,and,andi,auipc,beq,beqz,bge,bgeu,bgez,blt,bltu,bltz,bne,bnez,csrc,csrr,csrs,csrw,div,divu,divuw,divw,j,jal,jr,lb,lbu,ld,lh,lhu,li,lui,lw,lwu,mul,mulh,mulhsu,mulhu,mulw,mv,nop,or,ori,rem,remu,remuw,remw,ret,sb,sd,seqz,sext.w,sh,sll,slli,slliw,sllw,slt,slti,sltiu,sltu,sra,srai,sraiw,sraw,srl,srli,srliw,srlw,stall,sub,subw,sw,xor,xori
1a_li_300x300.instr.csv,9030.071,0,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90025,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_lui_300x300.instr.csv,9032.348,0,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,90004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_lw_300x300.instr.csv,9028.291,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498925,0,0,0,0,0
1a_mul_300x300.instr.csv,9047.476,0,283,5,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,84987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413404,0,0,0,0,0
1a_mulh_300x300.instr.csv,9065.903,0,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,41716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456963,0,0,0,0,0
1a_mulhsu_300x300.instr.csv,9057.941,0,138,8,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,41642,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457007,0,0,0,0,0
1a_mulhu_300x300.instr.csv,9057.369,0,140,5,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,41899,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456748,0,0,0,0,0
1a_mulw_300x300.instr.csv,9050.711,0,274,3,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,82363,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416046,0,0,0,0,0
1a_mv_300x300.instr.csv,9029.727,0,300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,90000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_nop_300x300.instr.csv,9027.548,0,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,90028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_or_300x300.instr.csv,9031.489,0,300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_ori_300x300.instr.csv,9030.87,0,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,28,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_rem_300x300.instr.csv,9057.131,0,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,3,0,0,40033,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458658,0,0,0,0,0
1a_remu_300x300.instr.csv,9057.036,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,5,0,0,0,40931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457754,0,0,0,0,0
1a_remuw_300x300.instr.csv,9053.866,0,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,4,0,0,0,0,50911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447708,0,0,0,0,0
1a_remw_300x300.instr.csv,9055.413,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,47092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451553,0,0,0,0,0
1a_sb_300x300.instr.csv,9035.953,0,237,20,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,71390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427061,0,0,0,0,0
1a_sh_300x300.instr.csv,9036.034,0,237,19,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,71390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427061,0,0,0,0,0
1a_sll_300x300.instr.csv,9031.153,0,300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_slli_300x300.instr.csv,9031.258,0,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_slliw_300x300.instr.csv,9032.83,0,300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_sllw_300x300.instr.csv,9032.618,0,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_slt_300x300.instr.csv,9031.234,0,300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1a_slti_300x300.instr.csv,9030.484,0,300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_sltiu_300x300.instr.csv,9030.533,0,302,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_sltu_300x300.instr.csv,9031.688,0,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1a_sra_300x300.instr.csv,9031.579,0,300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,231,0,0,0,0,0
