add,2
addi,3
addiw,1724
and,2
andi,1
auipc,3
beqz,1667
bge,111
bgeu,1
bltz,1
bne,1666
csrc,1
csrr,3
csrs,3
jal,1
li,148
lui,5
nop,14
remw,1666
ret,1
slli,2
stall,11270
sw,1
